1,Barcelona,3,1
1,Burgos,3,2
1,Las Palmas,3,3
1,Real Madrid,3,4
1,Sporting Gijon,3,5
1,Valencia,3,6
1,Ath. Bilbao,1,7
1,Celta,1,8
1,Espanyol,1,9
1,Granada,1,10
1,Malaga (C.D.),1,11
1,Zaragoza,1,12
1,At. Madrid,0,13
1,Betis,0,14
1,Castellon,0,15
1,Dptivo. Coruna,0,16
1,Oviedo,0,17
1,Real Sociedad,0,18
2,Barcelona,6,1
2,Las Palmas,6,2
2,Real Madrid,6,3
2,Espanyol,4,4
2,Zaragoza,4,5
2,At. Madrid,3,6
2,Burgos,3,7
2,Sporting Gijon,3,8
2,Valencia,3,9
2,Ath. Bilbao,2,10
2,Celta,2,11
2,Granada,2,12
2,Malaga (C.D.),2,13
2,Dptivo. Coruna,1,14
2,Real Sociedad,1,15
2,Betis,0,16
2,Castellon,0,17
2,Oviedo,0,18
3,Barcelona,9,1
3,Las Palmas,7,2
3,Real Madrid,7,3
3,Zaragoza,7,4
3,At. Madrid,6,5
3,Ath. Bilbao,5,6
3,Espanyol,5,7
3,Burgos,4,8
3,Real Sociedad,4,9
3,Sporting Gijon,4,10
3,Valencia,4,11
3,Granada,3,12
3,Malaga (C.D.),3,13
3,Celta,2,14
3,Dptivo. Coruna,1,15
3,Betis,0,16
3,Castellon,0,17
3,Oviedo,0,18
4,Barcelona,12,1
4,At. Madrid,9,2
4,Ath. Bilbao,8,3
4,Espanyol,8,4
4,Zaragoza,8,5
4,Las Palmas,7,6
4,Real Madrid,7,7
4,Malaga (C.D.),6,8
4,Real Sociedad,5,9
4,Valencia,5,10
4,Burgos,4,11
4,Dptivo. Coruna,4,12
4,Sporting Gijon,4,13
4,Granada,3,14
4,Oviedo,3,15
4,Celta,2,16
4,Castellon,1,17
4,Betis,0,18
5,Barcelona,15,1
5,Zaragoza,11,2
5,At. Madrid,10,3
5,Las Palmas,10,4
5,Espanyol,9,5
5,Ath. Bilbao,8,6
5,Real Madrid,7,7
5,Sporting Gijon,7,8
5,Malaga (C.D.),6,9
5,Valencia,6,10
5,Burgos,5,11
5,Dptivo. Coruna,5,12
5,Real Sociedad,5,13
5,Castellon,4,14
5,Granada,4,15
5,Celta,3,16
5,Oviedo,3,17
5,Betis,1,18
6,Barcelona,16,1
6,Zaragoza,12,2
6,Ath. Bilbao,11,3
6,At. Madrid,10,4
6,Espanyol,10,5
6,Las Palmas,10,6
6,Real Madrid,10,7
6,Malaga (C.D.),9,8
6,Valencia,9,9
6,Real Sociedad,8,10
6,Sporting Gijon,7,11
6,Celta,6,12
6,Dptivo. Coruna,6,13
6,Burgos,5,14
6,Castellon,4,15
6,Granada,4,16
6,Oviedo,4,17
6,Betis,2,18
7,Barcelona,19,1
7,At. Madrid,13,2
7,Zaragoza,13,3
7,Malaga (C.D.),12,4
7,Ath. Bilbao,11,5
7,Espanyol,11,6
7,Real Madrid,11,7
7,Las Palmas,10,8
7,Sporting Gijon,10,9
7,Valencia,10,10
