QuickSort,RadixSort,HeapSort
0.012,0.107,0.016
0.01,0.086,0.016
0.01,0.085,0.014
0.009,0.069,0.012
0.008,0.066,0.011
0.008,0.067,0.012
0.008,0.075,0.011
0.008,0.074,0.012
0.008,0.074,0.011
0.008,0.072,0.011
0.008,0.074,0.011
0.008,0.072,0.011
0.009,0.098,0.012
0.01,0.095,0.014
0.011,0.092,0.015
0.01,0.093,0.014
0.01,0.075,0.011
0.007,0.074,0.011
0.008,0.072,0.011
0.007,0.074,0.011
0.008,0.073,0.012
0.008,0.077,0.011
0.008,0.075,0.012
0.009,0.091,0.011
0.008,0.073,0.011
