QuickSort,RadixSort,HeapSort
1.404,7.524,2.317
1.387,7.046,2.163
1.39,7.088,2.434
1.817,8.234,2.193
1.697,7.412,2.463
1.717,7.73,2.049
1.328,6.894,1.986
1.43,6.878,1.982
1.305,7,2.024
1.313,6.854,1.983
1.349,6.823,2.005
1.374,6.892,1.988
1.362,7.084,1.989
1.298,6.964,2.04
1.378,6.87,3.304
2.017,6.925,2.017
1.341,6.873,1.998
1.299,6.891,3.723
1.321,6.822,2.039
1.376,8.583,2.078
1.77,10.097,2.005
2.327,7.317,2.082
2.328,7.454,2.493
1.961,8.249,2.661
1.684,7.856,3.537
