QuickSort,RadixSort,HeapSort
0.009,0.041,0.012
0.009,0.022,0.012
0.007,0.021,0.018
0.028,0.028,0.014
0.01,0.029,0.072
0.01,0.027,0.014
0.011,0.022,0.016
0.008,0.03,0.017
0.012,0.027,0.016
0.018,0.022,0.015
0.011,0.026,0.017
0.011,0.027,0.017
0.01,0.032,0.015
0.01,0.028,0.015
0.01,0.03,0.015
0.01,0.027,0.015
0.01,0.026,0.015
0.012,0.047,0.028
0.011,0.028,0.015
0.009,0.031,0.014
0.009,0.027,0.015
0.01,0.035,0.021
0.01,0.03,0.014
0.009,0.027,0.014
0.013,0.028,0.016
