QuickSort,RadixSort,HeapSort
3.614,2.511,2.21
2.724,2.729,2.353
2.97,2.118,2.271
2.891,1.905,2.305
3.012,1.93,2.234
3.248,3.078,2.967
2.625,1.826,3.165
2.615,1.862,1.982
2.569,1.961,1.921
2.609,1.861,2.962
2.608,2.007,1.905
2.554,1.809,1.972
2.554,1.845,1.868
2.511,1.733,1.884
2.656,1.824,1.867
2.543,1.839,1.912
2.511,1.873,1.881
2.504,1.839,1.883
2.556,1.878,1.892
2.49,1.84,1.883
2.596,1.758,1.951
2.617,2.283,2.418
3.206,2.354,2.448
3.235,2.323,2.462
3.331,2.319,2.495
