TABLEROS DE TAMAÑO 2
10.82;0.004681;0.022
10.82;0.004713;0.022
10.82;0.005096;0.023
10.82;0;0.022
10.82;0.00457;0.022
10.82;0.001253;0.024
CASILLAS EN BLANCO = 0.2
10.82;0;0.022
10.82;0.005136;0.023
10.82;0.005054;0.022
10.82;0.001225;0.022
10.82;0.004817;0.023
10.82;0;0.022
10.82;0.004566;0.022
10.82;0;0.023
10.82;0;0.021
10.82;0.004707;0.023
CASILLAS EN BLANCO = 0.3
10.82;0.001529;0.023
10.82;0.005259;0.022
10.82;0.005996;0.025
10.82;0.004843;0.022
10.82;0;0.022
10.82;0.001368;0.022
10.82;0.005355;0.023
10.82;0.00516;0.022
10.82;0.000719;0.023
10.82;0.005492;0.023
CASILLAS EN BLANCO = 0.4
10.82;0.005586;0.024
10.82;0.005743;0.023
10.82;0.006581;0.025
10.82;0.006322;0.024
10.82;0.006018;0.024
10.82;0.002858;0.022
10.82;0;0.024
10.82;0.005475;0.023
10.82;0.005753;0.023
10.82;0.0025;0.023
CASILLAS EN BLANCO = 0.5
10.82;0.008612;0.026
10.82;0.008589;0.026
10.82;0.001286;0.024
10.82;0.009929;0.027
10.82;0.008064;0.026
10.82;0.010316;0.028
10.82;0.004489;0.025
10.82;0.007198;0.025
10.82;0.002465;0.026
10.82;0.003191;0.025
CASILLAS EN BLANCO = 0.6
10.82;0.049787;0.072
10.82;0.030475;0.052
10.82;0.038334;0.056
10.82;0.024434;0.042
10.82;0.018089;0.035
10.82;0.04811;0.067
10.82;0.052107;0.077
10.82;0.03294;0.054
10.82;0.026903;0.051
10.82;0.032688;0.056
CASILLAS EN BLANCO = 0.7
10.82;0.2353;0.258
10.82;0.22517;0.249
10.82;0.266738;0.285
10.82;0.12612;0.150
10.82;0.168699;0.191
10.82;0.284523;0.312
10.82;0.177078;0.201
10.82;0.188711;0.213
10.82;0.11809;0.146
10.82;0.302371;0.328
CASILLAS EN BLANCO = 0.8
10.82;1.23447;1.256
10.82;0.141685;0.166
10.82;0.717229;0.739
11.48;1.73115;1.756
10.82;0.755523;0.775
10.82;0.824188;0.856
11.00;1.62023;1.643
10.82;0.679625;0.709
10.82;0.305134;0.329
10.97;0.377118;0.403
CASILLAS EN BLANCO = 0.9
12.82;1.92501;1.947
13.39;2.55841;2.588
10.96;0.848536;0.873
12.37;1.83975;1.866
10.96;1.0817;1.103
12.86;2.0656;2.088
11.11;1.02453;1.054
12.61;1.91541;1.943
11.55;1.23202;1.261
10.96;0.471345;0.502
