QuickSort,RadixSort,HeapSort
1.643,8.496,2.346
1.637,8.694,2.448
1.64,8.959,2.519
1.645,8.974,2.344
1.604,8.94,2.48
1.625,8.508,2.362
1.628,8.731,2.363
1.714,8.889,2.369
1.628,8.535,2.554
1.628,8.896,2.454
1.66,8.951,2.449
1.667,8.937,2.48
1.638,8.511,2.36
1.622,8.905,2.338
1.645,8.95,2.364
1.632,8.927,2.485
1.646,8.893,2.385
1.623,8.514,2.69
1.635,8.649,2.515
1.66,8.636,2.567
1.646,8.652,2.416
1.643,8.524,2.559
1.62,8.94,2.342
2.228,8.764,2.437
1.673,8.619,2.377
